,Entity,Year,Hours
5,Men 14+,1950,9.0
6,Men 14+,1960,10.7
7,Men 14+,1970,11.4
8,Men 14+,1980,12.9
9,Men 14+,1990,14.9
10,Men 14+,2000,16.3
11,Men 14+,2005,16.4
17,Men 14-17,1950,4.1
18,Men 14-17,1960,4.5
19,Men 14-17,1970,4.8
20,Men 14-17,1980,5.2
21,Men 14-17,1990,5.6
22,Men 14-17,2000,6.0
23,Men 14-17,2005,6.2
29,Men 18-24,1950,7.3
30,Men 18-24,1960,7.8
31,Men 18-24,1970,8.5
32,Men 18-24,1980,10.4
33,Men 18-24,1990,12.0
34,Men 18-24,2000,12.8
35,Men 18-24,2005,12.3
41,Men 25-54,1950,9.2
42,Men 25-54,1960,11.0
43,Men 25-54,1970,12.0
44,Men 25-54,1980,13.4
45,Men 25-54,1990,15.3
46,Men 25-54,2000,16.9
47,Men 25-54,2005,17.3
53,Men 55-64,1950,10.4
54,Men 55-64,1960,12.5
55,Men 55-64,1970,13.8
56,Men 55-64,1980,15.1
57,Men 55-64,1990,16.8
58,Men 55-64,2000,18.9
59,Men 55-64,2005,19.0
65,Men 65+,1950,12.5
66,Men 65+,1960,15.4
67,Men 65+,1970,17.1
68,Men 65+,1980,18.4
69,Men 65+,1990,20.0
70,Men 65+,2000,21.3
71,Men 65+,2005,19.8
77,Total 14+,1950,24.2
78,Total 14+,1960,24.9
79,Total 14+,1970,22.9
80,Total 14+,1980,20.8
81,Total 14+,1990,21.4
82,Total 14+,2000,22.3
83,Total 14+,2005,22.2
89,Total 14-17,1950,9.2
90,Total 14-17,1960,8.6
91,Total 14-17,1970,8.1
92,Total 14-17,1980,7.3
93,Total 14-17,1990,7.3
94,Total 14-17,2000,7.4
95,Total 14-17,2005,7.5
101,Total 18-24,1950,21.3
102,Total 18-24,1960,22.5
103,Total 18-24,1970,19.1
104,Total 18-24,1980,16.2
105,Total 18-24,1990,16.0
106,Total 18-24,2000,16.3
107,Total 18-24,2005,16.5
113,Total 25-54,1950,26.2
114,Total 25-54,1960,27.1
115,Total 25-54,1970,26.0
116,Total 25-54,1980,23.2
117,Total 25-54,1990,22.9
118,Total 25-54,2000,24.0
119,Total 25-54,2005,24.3
125,Total 55-64,1950,25.6
126,Total 55-64,1960,26.3
127,Total 55-64,1970,24.9
128,Total 55-64,1980,23.9
129,Total 55-64,1990,24.3
130,Total 55-64,2000,25.1
131,Total 55-64,2005,24.1
137,Total 65+,1950,25.9
138,Total 65+,1960,27.7
139,Total 65+,1970,26.2
140,Total 65+,1980,24.1
141,Total 65+,1990,25.1
142,Total 65+,2000,26.1
143,Total 65+,2005,24.7
149,Women 14+,1950,38.8
150,Women 14+,1960,38.1
151,Women 14+,1970,33.3
152,Women 14+,1980,28.0
153,Women 14+,1990,27.5
154,Women 14+,2000,27.9
155,Women 14+,2005,27.6
161,Women 14-17,1950,14.4
162,Women 14-17,1960,12.8
163,Women 14-17,1970,11.4
164,Women 14-17,1980,9.5
165,Women 14-17,1990,9.1
166,Women 14-17,2000,8.9
167,Women 14-17,2005,8.8
173,Women 18-24,1950,34.6
174,Women 18-24,1960,36.4
175,Women 18-24,1970,28.9
176,Women 18-24,1980,21.9
177,Women 18-24,1990,20.1
178,Women 18-24,2000,19.9
179,Women 18-24,2005,20.9
185,Women 25-54,1950,42.7
186,Women 25-54,1960,42.4
187,Women 25-54,1970,39.1
188,Women 25-54,1980,32.5
189,Women 25-54,1990,30.4
190,Women 25-54,2000,30.9
191,Women 25-54,2005,31.1
197,Women 55-64,1950,40.9
198,Women 55-64,1960,39.2
199,Women 55-64,1970,34.8
200,Women 55-64,1980,31.6
201,Women 55-64,1990,31.0
202,Women 55-64,2000,30.7
203,Women 55-64,2005,28.7
209,Women 65+,1950,38.0
210,Women 65+,1960,37.9
211,Women 65+,1970,33.0
212,Women 65+,1980,28.0
213,Women 65+,1990,28.6
214,Women 65+,2000,29.6
215,Women 65+,2005,28.3
