,Country,Year,Alcohol consumption both sexes,Alcohol consumption males,Alcohol consumption females
0,Australia, 2016,10.6,16.7,4.7
1,Australia, 2010,12.5,19.4,5.7
2,Brazil, 2016,7.8,13.4,2.4
3,Brazil, 2010,8.8,15,3
4,China, 2016,7.2,11.7,2.5
5,China, 2010,7.1,11.5,2.6
6,Mexico, 2016,6.5,11.1,2.1
7,Mexico, 2010,6.7,11.3,2.2
8,Nigeria, 2016,13.4,21.9,4.6
9,Nigeria, 2010,11.5,18.7,4.1
10,Poland, 2016,11.6,19.2,4.7
11,Poland, 2010,11.4,18.7,4.6
12,South Africa, 2016,9.3,16.2,2.7
13,South Africa, 2010,10.5,18.4,3.2
14,Sweden, 2016,9.2,14.6,3.8
15,Sweden, 2010,9.5,15.1,4
